"Area","Country","PersonID","Gender","DOB","Surname","GivenName","School","GP","Terminal","Hist","Last","This","HasFirstChild"
"Copthorne","England","21","Male","2018-08-01 00:00:00","Cartwright","Logan","Copthorne School","Copthorne GP","False","{'HasFirstChild': [{'value': 0, 'date': '2018-08-01T00:00:00', 'id': UUID('42c9a97b-1976-46e0-9158-654ad8d7b2f6')}]}","{'HasFirstChild': {'value': 0, 'date': '2018-08-01T00:00:00', 'id': UUID('42c9a97b-1976-46e0-9158-654ad8d7b2f6')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '2018-08-01T00:00:00', 'id': UUID('42c9a97b-1976-46e0-9158-654ad8d7b2f6')}","0"
"Copthorne","England","22","Male","1995-12-28 00:00:00","Fleming","David","Copthorne School","","False","{'HasFirstChild': [{'value': 1, 'date': '1995-12-28T00:00:00', 'id': UUID('c830c742-3e59-4529-96ec-6e72cab8ea53')}]}","{'HasFirstChild': {'value': 1, 'date': '1995-12-28T00:00:00', 'id': UUID('c830c742-3e59-4529-96ec-6e72cab8ea53')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '1995-12-28T00:00:00', 'id': UUID('c830c742-3e59-4529-96ec-6e72cab8ea53')}","1"
"Copthorne","England","23","Female","1986-10-17 00:00:00","Coles","Elise","Copthorne School","Copthorne GP","False","{'HasFirstChild': [{'value': 0, 'date': '1986-10-17T00:00:00', 'id': UUID('0bb7b797-cda3-462c-94bb-14ce2568cb77')}]}","{'HasFirstChild': {'value': 0, 'date': '1986-10-17T00:00:00', 'id': UUID('0bb7b797-cda3-462c-94bb-14ce2568cb77')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1986-10-17T00:00:00', 'id': UUID('0bb7b797-cda3-462c-94bb-14ce2568cb77')}","0"
"Harlescott","England","24","Male","2014-12-26 00:00:00","Bray","Bailey","Harlescott School","Harlescott GP","False","{'HasFirstChild': [{'value': 1, 'date': '2014-12-26T00:00:00', 'id': UUID('91e2fc76-f666-4717-aa9c-89d93f98f1bf')}]}","{'HasFirstChild': {'value': 1, 'date': '2014-12-26T00:00:00', 'id': UUID('91e2fc76-f666-4717-aa9c-89d93f98f1bf')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '2014-12-26T00:00:00', 'id': UUID('91e2fc76-f666-4717-aa9c-89d93f98f1bf')}","1"
"Harlescott","England","25","Male","1996-07-08 00:00:00","Dickinson","Jude","Harlescott School","Harlescott GP","False","{'HasFirstChild': [{'value': 0, 'date': '1996-07-08T00:00:00', 'id': UUID('5dbf05bc-5103-4123-b109-e4dedf5b8d9f')}]}","{'HasFirstChild': {'value': 0, 'date': '1996-07-08T00:00:00', 'id': UUID('5dbf05bc-5103-4123-b109-e4dedf5b8d9f')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1996-07-08T00:00:00', 'id': UUID('5dbf05bc-5103-4123-b109-e4dedf5b8d9f')}","0"
"Harlescott","England","26","Female","1967-03-05 00:00:00","Kennedy","Madison","Harlescott School","Harlescott GP","False","{'HasFirstChild': [{'value': 0, 'date': '1967-03-05T00:00:00', 'id': UUID('6efe08a6-7a93-42f6-888b-1a788688fb3d')}]}","{'HasFirstChild': {'value': 0, 'date': '1967-03-05T00:00:00', 'id': UUID('6efe08a6-7a93-42f6-888b-1a788688fb3d')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1967-03-05T00:00:00', 'id': UUID('6efe08a6-7a93-42f6-888b-1a788688fb3d')}","0"
"Meole","England","27","Female","1971-09-17 00:00:00","Birch","Anna","Meole School","Meole GP","False","{'HasFirstChild': [{'value': 1, 'date': '1971-09-17T00:00:00', 'id': UUID('5f84e544-f1e5-4f6a-8ebc-4ce6c6a6ea4e')}]}","{'HasFirstChild': {'value': 1, 'date': '1971-09-17T00:00:00', 'id': UUID('5f84e544-f1e5-4f6a-8ebc-4ce6c6a6ea4e')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '1971-09-17T00:00:00', 'id': UUID('5f84e544-f1e5-4f6a-8ebc-4ce6c6a6ea4e')}","1"
"Meole","England","28","Male","1961-08-02 00:00:00","Atkins","John","Meole School","Meole GP","False","{'HasFirstChild': [{'value': 1, 'date': '1961-08-02T00:00:00', 'id': UUID('0a1dbb64-f3d3-4e3e-8018-2751ff42dfdb')}]}","{'HasFirstChild': {'value': 1, 'date': '1961-08-02T00:00:00', 'id': UUID('0a1dbb64-f3d3-4e3e-8018-2751ff42dfdb')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '1961-08-02T00:00:00', 'id': UUID('0a1dbb64-f3d3-4e3e-8018-2751ff42dfdb')}","1"
"Meole","England","29","Female","2008-01-12 00:00:00","Lee","Rebecca","Meole School","Meole GP","False","{'HasFirstChild': [{'value': 1, 'date': '2008-01-12T00:00:00', 'id': UUID('8f377433-d7e1-4476-951f-73c8b4ff88da')}]}","{'HasFirstChild': {'value': 1, 'date': '2008-01-12T00:00:00', 'id': UUID('8f377433-d7e1-4476-951f-73c8b4ff88da')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '2008-01-12T00:00:00', 'id': UUID('8f377433-d7e1-4476-951f-73c8b4ff88da')}","1"
"Monkmoor","England","30","Female","1966-12-22 00:00:00","Hawkins","Chelsea","Monkmoor School","Monkmoor GP","False","{'HasFirstChild': [{'value': 0, 'date': '1966-12-22T00:00:00', 'id': UUID('62158eec-ad1b-49ea-9b63-4cf156a3e456')}]}","{'HasFirstChild': {'value': 0, 'date': '1966-12-22T00:00:00', 'id': UUID('62158eec-ad1b-49ea-9b63-4cf156a3e456')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1966-12-22T00:00:00', 'id': UUID('62158eec-ad1b-49ea-9b63-4cf156a3e456')}","0"
"Monkmoor","England","31","Male","1958-08-23 00:00:00","Bruce","Liam","Monkmoor School","Monkmoor GP","False","{'HasFirstChild': [{'value': 1, 'date': '1958-08-23T00:00:00', 'id': UUID('8e3a4567-0d68-44b3-83bf-a608cfc2bf21')}]}","{'HasFirstChild': {'value': 1, 'date': '1958-08-23T00:00:00', 'id': UUID('8e3a4567-0d68-44b3-83bf-a608cfc2bf21')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '1958-08-23T00:00:00', 'id': UUID('8e3a4567-0d68-44b3-83bf-a608cfc2bf21')}","1"
"Monkmoor","England","32","Female","1957-12-14 00:00:00","Hargreaves","Niamh","Monkmoor School","Monkmoor GP","False","{'HasFirstChild': [{'value': 0, 'date': '1957-12-14T00:00:00', 'id': UUID('ec69f90a-e198-412d-8e09-705b838ac6c9')}]}","{'HasFirstChild': {'value': 0, 'date': '1957-12-14T00:00:00', 'id': UUID('ec69f90a-e198-412d-8e09-705b838ac6c9')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1957-12-14T00:00:00', 'id': UUID('ec69f90a-e198-412d-8e09-705b838ac6c9')}","0"
"Porthill","England","33","Female","1969-03-30 00:00:00","Peters","Jade","Porthill School","Porthill GP","False","{'HasFirstChild': [{'value': 0, 'date': '1969-03-30T00:00:00', 'id': UUID('7e0133f7-eaa6-4a2b-a61f-462fbe430105')}]}","{'HasFirstChild': {'value': 0, 'date': '1969-03-30T00:00:00', 'id': UUID('7e0133f7-eaa6-4a2b-a61f-462fbe430105')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1969-03-30T00:00:00', 'id': UUID('7e0133f7-eaa6-4a2b-a61f-462fbe430105')}","0"
"Porthill","England","34","Male","1982-09-23 00:00:00","White","Corey","Porthill School","Porthill GP","False","{'HasFirstChild': [{'value': 0, 'date': '1982-09-23T00:00:00', 'id': UUID('de4fefe3-6da2-4805-952b-2558d35da206')}]}","{'HasFirstChild': {'value': 0, 'date': '1982-09-23T00:00:00', 'id': UUID('de4fefe3-6da2-4805-952b-2558d35da206')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1982-09-23T00:00:00', 'id': UUID('de4fefe3-6da2-4805-952b-2558d35da206')}","0"
"Porthill","England","35","Male","1996-05-15 00:00:00","Warren","Harry","Porthill School","Porthill GP","False","{'HasFirstChild': [{'value': 0, 'date': '1996-05-15T00:00:00', 'id': UUID('7ea51473-d93a-44ee-b61c-d91b64c9d47b')}]}","{'HasFirstChild': {'value': 0, 'date': '1996-05-15T00:00:00', 'id': UUID('7ea51473-d93a-44ee-b61c-d91b64c9d47b')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1996-05-15T00:00:00', 'id': UUID('7ea51473-d93a-44ee-b61c-d91b64c9d47b')}","0"
"Quarry and Coton Hill","England","36","Female","2001-10-31 00:00:00","Lewis","Victoria","Coton Hill School","Quarry GP","False","{'HasFirstChild': [{'value': 1, 'date': '2001-10-31T00:00:00', 'id': UUID('8d8f0833-3264-4ce1-9b1c-8623d8901357')}]}","{'HasFirstChild': {'value': 1, 'date': '2001-10-31T00:00:00', 'id': UUID('8d8f0833-3264-4ce1-9b1c-8623d8901357')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '2001-10-31T00:00:00', 'id': UUID('8d8f0833-3264-4ce1-9b1c-8623d8901357')}","1"
"Quarry and Coton Hill","England","37","Male","1969-06-10 00:00:00","McKenzie","Declan","Quarry School","Quarry GP","False","{'HasFirstChild': [{'value': 1, 'date': '1969-06-10T00:00:00', 'id': UUID('3480f5eb-7241-4eb5-a405-10307d019565')}]}","{'HasFirstChild': {'value': 1, 'date': '1969-06-10T00:00:00', 'id': UUID('3480f5eb-7241-4eb5-a405-10307d019565')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '1969-06-10T00:00:00', 'id': UUID('3480f5eb-7241-4eb5-a405-10307d019565')}","1"
"Quarry and Coton Hill","England","38","Female","1984-02-20 00:00:00","Shepherd","Amelia","Coton Hill School","Quarry GP","False","{'HasFirstChild': [{'value': 0, 'date': '1984-02-20T00:00:00', 'id': UUID('1c51ba81-a380-47e8-b064-80f0649a2f00')}]}","{'HasFirstChild': {'value': 0, 'date': '1984-02-20T00:00:00', 'id': UUID('1c51ba81-a380-47e8-b064-80f0649a2f00')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1984-02-20T00:00:00', 'id': UUID('1c51ba81-a380-47e8-b064-80f0649a2f00')}","0"
"Radbrook","England","39","Male","1984-02-20 00:00:00","Jackson","Jayden","Radbrook School","Radbrook GP","False","{'HasFirstChild': [{'value': 0, 'date': '1984-02-20T00:00:00', 'id': UUID('cf64fcc4-7665-49b9-ba9c-0cb2b1eb5614')}]}","{'HasFirstChild': {'value': 0, 'date': '1984-02-20T00:00:00', 'id': UUID('cf64fcc4-7665-49b9-ba9c-0cb2b1eb5614')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1984-02-20T00:00:00', 'id': UUID('cf64fcc4-7665-49b9-ba9c-0cb2b1eb5614')}","0"
"Radbrook","England","40","Female","1992-01-13 00:00:00","Byrne","Isabel","Radbrook School","Radbrook GP","False","{'HasFirstChild': [{'value': 0, 'date': '1992-01-13T00:00:00', 'id': UUID('e1e17cbd-1bb0-4761-a472-e3dd21b0b4ab')}]}","{'HasFirstChild': {'value': 0, 'date': '1992-01-13T00:00:00', 'id': UUID('e1e17cbd-1bb0-4761-a472-e3dd21b0b4ab')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1992-01-13T00:00:00', 'id': UUID('e1e17cbd-1bb0-4761-a472-e3dd21b0b4ab')}","0"
"Radbrook","England","41","Male","1942-03-25 00:00:00","Duffy","Jack","Radbrook School","Radbrook GP","False","{'HasFirstChild': [{'value': 0, 'date': '1942-03-25T00:00:00', 'id': UUID('8e37cf67-b1ff-496a-b5c3-cb3cdc73f4cd')}]}","{'HasFirstChild': {'value': 0, 'date': '1942-03-25T00:00:00', 'id': UUID('8e37cf67-b1ff-496a-b5c3-cb3cdc73f4cd')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1942-03-25T00:00:00', 'id': UUID('8e37cf67-b1ff-496a-b5c3-cb3cdc73f4cd')}","0"
"Sundorne","England","42","Female","1963-10-10 00:00:00","Whitehead","Scarlett","Sundorne School","Sundorne GP","False","{'HasFirstChild': [{'value': 0, 'date': '1963-10-10T00:00:00', 'id': UUID('22794ca6-8882-4c32-97e8-698a622acdbf')}]}","{'HasFirstChild': {'value': 0, 'date': '1963-10-10T00:00:00', 'id': UUID('22794ca6-8882-4c32-97e8-698a622acdbf')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1963-10-10T00:00:00', 'id': UUID('22794ca6-8882-4c32-97e8-698a622acdbf')}","0"
"Sundorne","England","43","Female","2004-09-10 00:00:00","Nixon","Anna","Sundorne School","Sundorne GP","False","{'HasFirstChild': [{'value': 0, 'date': '2004-09-10T00:00:00', 'id': UUID('86318bef-a019-4ac8-84b8-18714ad8a2f5')}]}","{'HasFirstChild': {'value': 0, 'date': '2004-09-10T00:00:00', 'id': UUID('86318bef-a019-4ac8-84b8-18714ad8a2f5')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '2004-09-10T00:00:00', 'id': UUID('86318bef-a019-4ac8-84b8-18714ad8a2f5')}","0"
"Sundorne","England","44","Male","1976-07-07 00:00:00","Middleton","John","Sundorne School","Sundorne GP","False","{'HasFirstChild': [{'value': 1, 'date': '1976-07-07T00:00:00', 'id': UUID('5c0a983b-99ad-443a-be82-b5360b8af05c')}]}","{'HasFirstChild': {'value': 1, 'date': '1976-07-07T00:00:00', 'id': UUID('5c0a983b-99ad-443a-be82-b5360b8af05c')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '1976-07-07T00:00:00', 'id': UUID('5c0a983b-99ad-443a-be82-b5360b8af05c')}","1"
"Sutton and Reabrook","England","45","Male","1990-09-18 00:00:00","Hutchinson","Mohammad","Reabrook School","Sutton GP","False","{'HasFirstChild': [{'value': 1, 'date': '1990-09-18T00:00:00', 'id': UUID('f1f2f941-01f6-4305-892d-e265f6488b25')}]}","{'HasFirstChild': {'value': 1, 'date': '1990-09-18T00:00:00', 'id': UUID('f1f2f941-01f6-4305-892d-e265f6488b25')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '1990-09-18T00:00:00', 'id': UUID('f1f2f941-01f6-4305-892d-e265f6488b25')}","1"
"Sutton and Reabrook","England","46","Male","1942-08-20 00:00:00","Herbert","Muhammad","Reabrook School","Sutton GP","False","{'HasFirstChild': [{'value': 1, 'date': '1942-08-20T00:00:00', 'id': UUID('c41ad9b5-3f9d-44f2-8cfd-0619b584bd8d')}]}","{'HasFirstChild': {'value': 1, 'date': '1942-08-20T00:00:00', 'id': UUID('c41ad9b5-3f9d-44f2-8cfd-0619b584bd8d')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '1942-08-20T00:00:00', 'id': UUID('c41ad9b5-3f9d-44f2-8cfd-0619b584bd8d')}","1"
"Sutton and Reabrook","England","47","Male","1988-06-05 00:00:00","Vincent","Jack","Reabrook School","Sutton GP","False","{'HasFirstChild': [{'value': 0, 'date': '1988-06-05T00:00:00', 'id': UUID('fcb7a4be-b4e2-4df6-918c-a8b5847960e6')}]}","{'HasFirstChild': {'value': 0, 'date': '1988-06-05T00:00:00', 'id': UUID('fcb7a4be-b4e2-4df6-918c-a8b5847960e6')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1988-06-05T00:00:00', 'id': UUID('fcb7a4be-b4e2-4df6-918c-a8b5847960e6')}","0"
"Underdale","England","48","Male","1977-06-20 00:00:00","Page","Sam","Underdale School","Underdale GP","False","{'HasFirstChild': [{'value': 0, 'date': '1977-06-20T00:00:00', 'id': UUID('fc3777c2-a65c-4bfa-9c54-3fe1fe7c0be7')}]}","{'HasFirstChild': {'value': 0, 'date': '1977-06-20T00:00:00', 'id': UUID('fc3777c2-a65c-4bfa-9c54-3fe1fe7c0be7')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1977-06-20T00:00:00', 'id': UUID('fc3777c2-a65c-4bfa-9c54-3fe1fe7c0be7')}","0"
