"Area","Country","PersonID","Gender","DOB","Surname","GivenName","School","GP","Terminal","Hist"
"Column","England","18","Female","1939-03-05 00:00:00","Winter","Matilda","Column School","Column GP","False","{}"
"Column","England","19","Male","1964-02-22 00:00:00","Slater","Harry","Column School","Column GP","False","{}"
"Column","England","20","Male","1991-09-13 00:00:00","Whittaker","Benjamin","Column School","Column GP","False","{}"
"Copthorne","England","21","Male","1939-04-06 00:00:00","West","Kian","Copthorne School","Copthorne GP","False","{}"
"Copthorne","England","22","Female","1927-03-29 00:00:00","Miller","Daisy","Copthorne School","Copthorne GP","False","{}"
"Copthorne","England","23","Female","1975-05-22 00:00:00","Giles","Chloe","Copthorne School","Copthorne GP","False","{}"
"Harlescott","England","24","Female","1942-04-14 00:00:00","Buckley","Alice","Harlescott School","Harlescott GP","False","{}"
"Harlescott","England","25","Female","1974-10-05 00:00:00","Brown","Amy","Harlescott School","Harlescott GP","False","{}"
"Harlescott","England","26","Female","1944-01-12 00:00:00","Hilton","Lydia","Harlescott School","Harlescott GP","False","{}"
"Meole","England","27","Female","1947-09-13 00:00:00","Perry","Jessica","Meole School","Meole GP","False","{}"
"Meole","England","28","Female","1991-06-27 00:00:00","Lloyd","Alicia","Meole School","Meole GP","False","{}"
"Meole","England","29","Female","1986-10-28 00:00:00","Lewis","Isabel","Meole School","Meole GP","False","{}"
"Monkmoor","England","30","Female","1943-10-08 00:00:00","Sutton","Chelsea","Monkmoor School","Monkmoor GP","False","{}"
"Monkmoor","England","31","Female","1970-05-04 00:00:00","Perkins","Emma","Monkmoor School","Monkmoor GP","False","{}"
"Monkmoor","England","32","Female","1991-10-03 00:00:00","Sharpe","Imogen","Monkmoor School","Monkmoor GP","False","{}"
"Porthill","England","33","Female","2006-10-10 00:00:00","Sharpe","Georgina","Porthill School","Porthill GP","False","{}"
"Porthill","England","34","Female","2002-05-21 00:00:00","Lucas","Jasmine","Porthill School","Porthill GP","False","{}"
"Porthill","England","35","Female","1947-03-14 00:00:00","Metcalfe","Lola","Porthill School","Porthill GP","False","{}"
"Quarry and Coton Hill","England","36","Male","2017-05-29 00:00:00","Howarth","Anthony","Coton Hill School","Quarry GP","False","{}"
"Quarry and Coton Hill","England","37","Male","2018-04-17 00:00:00","Whitehouse","Declan","Coton Hill School","Quarry GP","False","{}"
"Quarry and Coton Hill","England","38","Male","1960-05-18 00:00:00","Hope","Louie","Coton Hill School","Quarry GP","False","{}"
"Radbrook","England","39","Male","2004-04-03 00:00:00","White","Jack","Radbrook School","Radbrook GP","False","{}"
"Radbrook","England","40","Male","1937-09-25 00:00:00","Barnes","Cameron","Radbrook School","Radbrook GP","False","{}"
"Radbrook","England","41","Female","1997-04-24 00:00:00","Welch","Evie","Radbrook School","Radbrook GP","False","{}"
"Sundorne","England","42","Female","1973-10-10 00:00:00","Owen","Ellie","Sundorne School","Sundorne GP","False","{}"
"Sundorne","England","43","Male","1996-03-16 00:00:00","Myers","Muhammad","Sundorne School","Sundorne GP","False","{}"
"Sundorne","England","44","Female","1995-04-10 00:00:00","Moore","Laura","Sundorne School","Sundorne GP","False","{}"
"Sutton and Reabrook","England","45","Female","1967-10-12 00:00:00","Browne","Eve","Reabrook School","Sutton GP","False","{}"
"Sutton and Reabrook","England","46","Male","1996-10-24 00:00:00","O'Donnell","Jacob","Reabrook School","Sutton GP","False","{}"
"Sutton and Reabrook","England","47","Male","1961-09-26 00:00:00","Watkins","Lewis","Reabrook School","Sutton GP","False","{}"
"Underdale","England","48","Male","1986-09-29 00:00:00","Begum","Alfie","Underdale School","Underdale GP","False","{}"
"Underdale","England","49","Male","1947-11-30 00:00:00","Dennis","Liam","Underdale School","Underdale GP","False","{}"
"Underdale","England","50","Male","1995-06-22 00:00:00","Humphreys","Lucas","Underdale School","Underdale GP","False","{}"
